Idx_Sample,Mixture Type,Additive Type,SiO2 (%),Al2O3 (%),Fe2O3 (%),CaO (%),MgO (%),LOI (%),Coarse Cggregate (kg/m3),Fine Aggregate (kg/m3),Initial Curing Temp (℃),Final Curing Temp (℃),Nano-Additive (kg/m3),Partical Size (nm),Additive Purity (%),28-d Cubic compressive strength (MPa)
623,concrete,Nano-Al2O3,48.43,17.15,11.96,15.48,1.35,1,643.6,749.9,23,23,0,25,99.9,34.5
624,concrete,Nano-Al2O3,48.43,17.15,11.96,15.48,1.35,1.47,643.5,749.8,23,23,25,25,99.9,37.7
625,concrete,Nano-Al2O3,48.43,17.15,11.96,15.48,1.35,1.47,673.6,784.9,23,23,50,25,99.9,40.9
626,concrete,Nano-Al2O3,48.43,17.15,11.96,15.48,1.35,1.47,673.2,784.4,23,23,75,25,99.9,38.8
627,geopolymer,nano-CaCO3,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,0,30,97.5,19.1
628,geopolymer,nano-CaCO3,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,1,30,97.5,25.4
629,geopolymer,nano-CaCO3,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,2,30,97.5,21.8
630,geopolymer,nano-CaCO3,63.13,24.88,3.07,2.58,0.61,1.45,0,0,80,23,3,30,97.5,25.5
631,mortar,nano-PbO,33.1,15.9,1.53,37.36,6.18,0.52,0,1100,100,20,0,10,,21.55
632,mortar,nano-PbO,33.1,15.9,1.53,37.36,6.18,0.52,0,1100,100,20,4,10,,39.91
633,mortar,nano-PbO,33.1,15.9,1.53,37.36,6.18,0.52,0,1100,100,20,12,10,,41.79
634,mortar,nano-PbO,33.1,15.9,1.53,37.36,6.18,0.52,0,1100,100,20,20,10,,38.03
635,paste,nano-ZnO,55.9,28.1,6.97,3.84,0.93,,0,0,27,27,0,40,99.8,72.7
636,paste,nano-ZnO,55.9,28.1,6.97,3.84,0.93,,0,0,27,27,12.5,40,99.8,51.61
637,paste,nano-ZnO,55.9,28.1,6.97,3.84,0.93,,0,0,27,27,25,40,99.8,35.56
